asset,shock,mode,family,level,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.05,Agent,ltv_targeted,-0.10,116069444.62902811,116069444.62902811,2,473.7507957029952,11.801920163196813,1.4835084302918367
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.025,Agent,ltv_targeted,-0.10,117740655.00605747,117740655.00605747,2,481.5249916420001,14.47647685164931,1.3111717987452125
0x8236a87084f8b84306f72007f36f2618a5634494,-0.4,Agent,ltv_targeted,-0.10,67947601.29907237,67947601.29907237,92,4648859.762946958,1305720.7083048422,0.43054433738149134
0x8236a87084f8b84306f72007f36f2618a5634494,-0.375,Agent,ltv_targeted,-0.10,70467411.66646671,70467411.66646671,85,4617383.423181049,1096416.4530568377,0.5216648263400091
0x8236a87084f8b84306f72007f36f2618a5634494,-0.35,Agent,ltv_targeted,-0.10,72853953.99133253,72853953.99133253,81,4788910.737446649,892923.8185181991,0.6042479552850133
0x8236a87084f8b84306f72007f36f2618a5634494,-0.325,Agent,ltv_targeted,-0.10,75822333.74861637,75822333.74861637,76,4418604.982395394,724974.0530907483,0.676108295460179
0x8236a87084f8b84306f72007f36f2618a5634494,-0.3,Agent,ltv_targeted,-0.10,79002842.6818324,79002842.6818324,64,3914238.894374289,554502.6769132896,0.7966814361743298
0x8236a87084f8b84306f72007f36f2618a5634494,-0.275,Agent,ltv_targeted,-0.10,81640500.68391946,81640500.68391946,59,4006307.990871179,405994.2795591657,1.031836556888937
0x8236a87084f8b84306f72007f36f2618a5634494,-0.25,Agent,ltv_targeted,-0.10,84919625.55679199,84919625.55679199,54,3528238.605563214,261704.72543678345,1.3965586193625472
0x8236a87084f8b84306f72007f36f2618a5634494,-0.225,Agent,ltv_targeted,-0.10,87924661.26704305,87924661.26704305,46,3406075.6065269974,111145.17987647947,2.650625761357325
0x8236a87084f8b84306f72007f36f2618a5634494,-0.2,Agent,ltv_targeted,-0.10,90836698.39622113,90836698.39622113,40,3374531.2505977317,38512.80449454101,5.449108494771115
0x8236a87084f8b84306f72007f36f2618a5634494,-0.175,Agent,ltv_targeted,-0.10,95336799.7606362,95336799.7606362,29,1790558.3192365635,5792.001519888835,17.074022746386174
0x8236a87084f8b84306f72007f36f2618a5634494,-0.15,Agent,ltv_targeted,-0.10,98697915.32413267,98697915.32413267,23,1391385.3832588387,2804.2362927037357,21.819136055230565
0x8236a87084f8b84306f72007f36f2618a5634494,-0.125,Agent,ltv_targeted,-0.10,102761241.34337227,102761241.34337227,18,365067.94426390924,297.7505519851801,41.67804462223393
0x8236a87084f8b84306f72007f36f2618a5634494,-0.1,Agent,ltv_targeted,-0.10,106218126.04924622,106218126.04924622,8,18530.31565822756,0.0,1.0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.075,Agent,ltv_targeted,-0.10,109404705.59220193,109404705.59220193,4,17547.331631155408,0.0,1.0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.05,Agent,ltv_targeted,-0.10,112682570.162579,112682570.162579,2,822.5758497665518,3.976545304471994,6.089610456969481
0x8236a87084f8b84306f72007f36f2618a5634494,-0.025,Agent,ltv_targeted,-0.10,116019607.04029292,116019607.04029292,2,470.21756827182185,10.480466223611746,1.6015995699958714
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.4,Agent,ltv_targeted,-0.10,111350426.80729993,111350426.80729993,4,1186.1642044956086,0.0,1.0
